来源,Material Name,Polymer A Name,Polymer A Type,Polymer A Role,Polymer B Name,Polymer B Type,Polymer B Role,Polymer C Name,Polymer C Type,Polymer C Role,Polymer D Name,Polymer D Type,Polymer D Role,Polymer E Name,Polymer E Type,Polymer E Role,Polymer Structure Type,Copolymerized/Blended/Crosslinked/Filled With,Material A Name,Material A Type,Material A Role,Material B Name,Material B Type,Material B Role,Material C Name,Material C Type,Material C Role,Material D Name,Material D Type,Material D Role,Material E Name,Material E Type,Material E Role,Tensile Strength,Elongation at Break,Young's Modulus,Flexural Modulus,Impact Strength,Stress-Strain,Hardness,Glass Transition,Melting Point
10.1016_j.compositesa.2011.07.023_part_1.txt_段1_Material1,Kenaf/polypropylene composite (pre-treatment route),polypropylene,Homopolymer,Matrix,,,,,,,,,,,,,Blend,kenaf fibre,kenaf fibre,Natural fibre,Reinforcement,"Surface finishes (paraffin waxes, mineral oils)",Functional additive,Surface finishing agents,,,,,,,,,,,,,5.54–7.6 GPa,,,,,
10.1016_j.compositesa.2011.07.023_part_1.txt_段1_Material2,Kenaf/polypropylene composite (post-treatment route),polypropylene,Homopolymer,Matrix,,,,,,,,,,,,,Blend,kenaf fibre,kenaf fibre,Natural fibre,Reinforcement,,,,,,,,,,,,,,,,8.98–12.39 GPa,,,,,
10.1016_j.compositesa.2011.07.023_part_2.txt_段1_Material1,Kenaf/polypropylene composite,polypropylene,Homopolymer,Matrix,,,,,,,,,,,,,Filled composite,kenaf fibre,kenaf fibre,Natural fiber,Reinforcement,,,,,,,,,,,,,,,,,,,,,
10.1016_j.compositesa.2011.09.021_part_2.txt_段1_Material1,Wood chip-PP composite,PP,Homopolymer,Matrix,,,,,,,,,,,,,Filled composite,Wood chips,Sodium sulfite,Functional additive,Modifier,Wood chips,Natural fiber,Reinforcement,,,,,,,,,,,,,,,,,,
10.1016_j.compositesa.2013.06.016_part_1.txt_段1_Material1,Fumed silica filled polydimethylsiloxane (PDMS) network,Polydimethylsiloxane (PDMS),Crosslinked polymer,Matrix,,,,,,,,,,,,,Filled composite,Fumed silica,Fumed silica (A90/A200/A300/R106/R8200),Inorganic nanoparticle,Reinforcement,Tetraethoxysilane (TEOS),Crosslinker,Crosslinking agent,,,,,,,,,,0.36–2.19 MPa,207–368 %,,,,Non-Gaussian upturn behavior at high strains,,,
10.1016_j.compositesa.2013.06.016_part_1.txt_段1_Material2,Surface-modified fumed silica/PDMS composite (R106),Polydimethylsiloxane (PDMS),Crosslinked polymer,Matrix,,,,,,,,,,,,,Filled composite,R106 fumed silica (D4-modified),R106 fumed silica,Inorganic nanoparticle,Reinforcement,,,,,,,,,,,,,0.43–2.04 MPa,213–308 %,,,,Non-Gaussian effect with hierarchical network,,,
10.1016_j.compositesa.2013.06.016_part_2.txt_段1_Material1,PDMS network filled with fumed silica,PDMS,Crosslinked polymer,Matrix,,,,,,,,,,,,,Filled composite,"R106, R8200, A300 (fumed silica)",R106 fumed silica,Inorganic nanoparticle,Reinforcement,R8200 fumed silica,Inorganic nanoparticle,Reinforcement,A300 fumed silica,Inorganic nanoparticle,Reinforcement,,,,,,,,,,,,,,,
10.1016_j.compositesa.2014.09.001_part_1.txt_段1_Material1,PP/PPMA/EP/SCF composite,Polypropylene (PP),Homopolymer,Matrix,Maleic anhydride grafted polypropylene (PPMA),Graft copolymer,Compatibilizer,,,,,,,,,,Filled composite,Short carbon fiber (SCF),Epoxy resin (EP),Functional additive,Interfacial modifier,Short carbon fiber (SCF),Carbon nanomaterial,Reinforcement,,,,,,,,,,,,,,,,,,
10.1016_j.compositesa.2015.05.007_part_1.txt_段1_Material1,UHMWPE/CNT composite,UHMWPE,Homopolymer,Matrix,,,,,,,,,,,,,Filled composite,"High aspect ratio CNTs (HARC), Low aspect ratio CNTs (LARC)",MWCNTs (HARC),Carbon nanomaterial,Reinforcement,MWCNTs (LARC),Carbon nanomaterial,Reinforcement,,,,,,,,,,,,8–42 % increase,,,,3–45 % increase,,
10.1016_j.compositesa.2015.05.007_part_2.txt_段1_Material1,UHMWPE (PE),UHMWPE,Homopolymer,Matrix,,,,,,,,,,,,,Pure polymer,,,,,,,,,,,,,,,,,,,,,,,,,123 °C
