Pair_ID,SMILE A,SMILE B,row_index,Prediction,Prediction_prob_class0,Prediction_prob_class1
Pair_1,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,0,1,0.3957611613965208,0.6042388386034796
Pair_2,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,1,1,0.32867162382816867,0.6713283761718325
Pair_3,[*]C([H])([H])C(O)([H])[*],[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,2,0,0.5158884526079418,0.48411154739205847
Pair_4,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,3,1,0.40702573796674935,0.592974262033251
Pair_5,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,4,1,0.49280308487367164,0.5071969151263285
Pair_6,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]OCC[*],5,1,0.393317017870666,0.606682982129334
Pair_7,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,6,1,0.46991245653418695,0.5300875434658131
Pair_8,OC1C(OC(C(C1O)O)[*])CO[*],[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,7,1,0.49993380235101526,0.5000661976489849
Pair_9,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,8,1,0.3322662486441169,0.6677337513558838
Pair_10,[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,9,1,0.4947165226169371,0.5052834773830629
Pair_11,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,10,1,0.38727031761621106,0.6127296823837899
Pair_12,[*]C(CCCCCO[*])=O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,11,0,0.5463935960183967,0.4536064039816037
Pair_13,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]NC(C(O)=O)CCC([*])=O,12,1,0.4304597314564332,0.5695402685435667
Pair_14,[*]C(C)C(OCC(O[*])=O)=O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,13,0,0.5084964796570527,0.4915035203429474
Pair_15,O=C(N([*])C([*])=O)CC=C,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,14,1,0.39806850161254187,0.6019314983874583
Pair_16,[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,15,0,0.518908308378968,0.481091691621032
Pair_17,O=C(C(C[*])[*])N,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,16,1,0.43904046856274026,0.5609595314372595
Pair_18,OCC1OC(C(C(C1O[*])O)NC(C)=O)OC2C(O)C(C(OC2CO)[*])NC(C)=O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,17,1,0.4114874666086114,0.5885125333913893
Pair_19,O=C(N)C([*])C[*],[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,18,1,0.43904046856274026,0.5609595314372595
Pair_20,[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,19,0,0.5780393923937514,0.42196060760624926
Pair_21,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]NC(CCC([*])=O)C(O)=O,20,1,0.4304597314564332,0.5695402685435667
Pair_22,CC(NC1C(OC(C(C1OC2OC(C(C(C2OCC(COC(C(C)=C)=O)O)O)O[*])C([O-])=O)O)O)O[*])=O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,21,0,0.5399595886249106,0.46004041137508916
Pair_23,[*]C(C)(C(OCCN(C)C)=O)C[*],[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,22,1,0.4921056459701947,0.5078943540298052
Pair_24,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,23,0,0.5394692876937357,0.4605307123062642
Pair_25,CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,24,1,0.4591867206941671,0.5408132793058331
Pair_26,O=C([*])C(C)O[*],[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,25,0,0.5320062446033333,0.4679937553966666
Pair_27,COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*],[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,26,1,0.4736748597311409,0.5263251402688591
Pair_28,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],27,0,0.5881669388638993,0.4118330611361007
Pair_29,COC(C(C[*])([*])C)=O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,28,0,0.5269798042483107,0.47302019575168924
Pair_30,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,29,1,0.3322662486441169,0.6677337513558838
Pair_31,[*]CC(C)(C(OCCO)=O)[*],[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,30,1,0.4808729096644892,0.5191270903355109
