idx,y_pred,y_true,residual,fold,proba_pos
0,1,0,-1,7,0.638471759779541
1,0,0,0,7,0.21367859511408088
2,0,0,0,7,0.24879134051217372
3,0,0,0,7,0.2754743791983072
4,1,1,0,7,0.6776829476028977
5,1,0,-1,7,0.6180162625754367
6,1,1,0,7,0.5606151019833079
7,1,0,-1,7,0.5073683777437021
8,1,1,0,7,0.6613614126754664
9,1,1,0,7,0.6259727655918312
10,1,1,0,7,0.641231735035135
11,0,0,0,7,0.25497019565973256
12,0,0,0,7,0.3273224096094881
13,0,0,0,7,0.17528428343142488
14,0,0,0,7,0.37526503088912677
15,1,1,0,7,0.766430748590296
16,1,1,0,7,0.6617529606003778
17,0,0,0,7,0.37780621365098926
18,0,0,0,7,0.05523141427970124
19,0,0,0,7,0.18419029150756813
20,0,0,0,7,0.49227007918771415
21,1,1,0,7,0.7020188059670975
22,0,0,0,7,0.47792029356185667
23,1,1,0,7,0.5098427700892201
24,0,0,0,7,0.4043936060682107
25,1,1,0,7,0.5457493174075841
26,0,0,0,7,0.3721206802055501
27,0,0,0,7,0.22443304482841378
28,1,1,0,7,0.6610198790621736
29,1,1,0,7,0.6492992860856921
30,0,0,0,7,0.32993721791881675
31,0,0,0,7,0.293542112879573
32,1,1,0,7,0.5582190647646871
33,1,0,-1,7,0.6458284977084733
34,0,0,0,7,0.2907647956143866
35,1,1,0,7,0.6446040931830734
36,0,0,0,7,0.17260723472645773
37,0,0,0,7,0.18824348227089588
38,0,0,0,7,0.1287635235726394
39,0,0,0,7,0.2648083998657781
40,0,0,0,7,0.2390873057215412
41,1,1,0,7,0.6613896873241378
42,1,1,0,7,0.7224143485755556
43,1,0,-1,7,0.5170154157877568
44,0,0,0,7,0.2245383138586859
45,0,0,0,7,0.3661810543488805
46,0,0,0,7,0.19665674783754694
47,1,1,0,7,0.6980510509737
48,0,0,0,7,0.07470308998274026
49,1,0,-1,7,0.53904757038898
50,0,0,0,7,0.3939346615392035
51,0,1,1,7,0.4637794108996426
52,1,1,0,7,0.7039660586133465
53,0,0,0,7,0.24439906722200186
54,0,0,0,7,0.3207869400303624
55,0,0,0,7,0.23255033214448423
56,0,0,0,7,0.2954911299662352
57,0,0,0,7,0.2403948979062312
58,0,0,0,7,0.1331205115424709
59,1,1,0,7,0.6988539332157149
60,0,0,0,7,0.185168374663498
61,0,0,0,7,0.18987963184905085
62,1,1,0,7,0.6532419163108071
63,1,1,0,7,0.5996065017944033
64,0,0,0,7,0.48655172296330457
65,0,0,0,7,0.15085940701965297
66,1,1,0,7,0.5772658062092687
67,1,1,0,7,0.7801594752964166
68,0,0,0,7,0.33685012414346793
69,0,0,0,7,0.23019571041814346
70,1,1,0,7,0.7719731804221256
71,0,0,0,7,0.16816203813954111
72,0,0,0,7,0.2393739383992029
73,1,1,0,7,0.5092970599389716
74,1,1,0,7,0.602419690816087
75,0,0,0,7,0.3762286957295492
76,0,0,0,7,0.21696103384521004
77,0,0,0,7,0.2761113760264388
78,1,0,-1,7,0.5318472802398552
79,1,1,0,7,0.7057015240463691
80,1,1,0,7,0.7988840542844956
81,0,0,0,7,0.3398812815361014
82,0,0,0,7,0.22865780570611255
83,1,0,-1,7,0.5188961292757523
84,0,0,0,7,0.35805065172474987
85,0,0,0,7,0.32135989857788966
86,0,0,0,7,0.49376221560016514
87,0,0,0,7,0.09679853669134096
88,0,0,0,7,0.3282224401201216
89,0,0,0,7,0.47557422852038167
90,1,0,-1,7,0.5494951957440578
91,0,0,0,7,0.19234140749202275
92,0,1,1,7,0.4980024825188457
93,0,0,0,7,0.2086012685152323
94,0,0,0,7,0.2463999202216435
95,0,0,0,7,0.1170946953531937
96,0,0,0,7,0.14990758119150915
97,1,1,0,7,0.6293036517062074
98,0,0,0,7,0.23096172204711043
99,1,0,-1,7,0.533272214173009
100,0,0,0,7,0.06982716241912836
101,0,0,0,7,0.47236184971223344
102,1,0,-1,7,0.618319073142254
103,1,0,-1,7,0.5078218746869491
104,0,1,1,7,0.4232849027655979
105,0,0,0,7,0.4359027840463619
106,1,1,0,7,0.6136472375733429
107,1,1,0,7,0.8446652138080158
108,0,0,0,7,0.2452838027985492
109,0,0,0,7,0.2513909774360386
110,0,1,1,7,0.47109471758025767
111,0,0,0,7,0.4767778085047009
112,0,0,0,7,0.1773741484108221
113,0,0,0,7,0.23198509885169263
114,1,1,0,7,0.522457369231438
115,0,0,0,7,0.3847368533377714
116,1,1,0,7,0.618319073142254
117,1,1,0,7,0.8113922455878141
118,0,0,0,7,0.20317224045268667
119,1,1,0,7,0.6471076258735783
120,0,0,0,7,0.24496758319102002
121,1,0,-1,7,0.6476924620972183
122,0,0,0,7,0.31903227968973086
123,0,0,0,7,0.0995566617956272
124,1,1,0,7,0.8485982235980598
125,0,0,0,7,0.06336852306028846
126,0,0,0,7,0.10577127802659454
127,1,0,-1,7,0.6018953765756212
128,0,0,0,7,0.20444392167358852
129,0,0,0,7,0.21247476365568765
130,0,0,0,7,0.18222396104270103
131,0,0,0,7,0.42458663533179747
132,0,0,0,7,0.19515515539341438
133,0,0,0,7,0.33168115986206437
134,0,0,0,7,0.16245528610533788
135,0,0,0,7,0.1664637184786816
136,1,1,0,7,0.6736391639481115
137,0,0,0,7,0.1890343244725793
138,0,0,0,7,0.2814513489215337
139,0,0,0,7,0.32062883917275825
140,0,0,0,7,0.13626982856814907
141,0,0,0,7,0.39925798811495944
142,1,1,0,7,0.7042019864641689
143,0,0,0,7,0.4376090978937595
144,1,1,0,7,0.6613660565239153
145,1,1,0,7,0.8616315721772281
146,0,0,0,7,0.2323880468108882
147,0,0,0,7,0.3194548645611779
148,0,0,0,7,0.3924524366963438
149,0,0,0,7,0.27048579834999387
150,0,0,0,7,0.29017243144921945
151,1,1,0,7,0.6500301105496894
152,0,0,0,7,0.20870787145667516
153,0,0,0,7,0.1668258141593755
154,0,0,0,7,0.07912067811927796
155,0,0,0,7,0.059192777742271524
156,1,1,0,7,0.5593510924918177
157,0,0,0,7,0.37487143548133955
158,0,0,0,7,0.3028512788349773
159,0,0,0,7,0.3902329348369381
160,0,0,0,7,0.46435623098195994
161,0,0,0,7,0.07560458643524733
162,0,0,0,7,0.1469516057299038
163,1,1,0,7,0.656915125795956
164,1,0,-1,7,0.5237974547363266
165,0,0,0,7,0.17446266147316714
166,0,0,0,7,0.4613364194757253
167,1,1,0,7,0.6945734552044159
168,1,1,0,7,0.7312590599108866
169,1,0,-1,7,0.5582190647646871
170,1,0,-1,7,0.5141981827571583
171,0,0,0,7,0.2134625408090289
172,0,0,0,7,0.37768824312668436
173,0,0,0,7,0.488282124834076
174,0,0,0,7,0.38658456471865177
175,1,1,0,7,0.6554993861572425
176,0,0,0,7,0.48099231301478906
177,0,0,0,7,0.3906692772242307
178,0,0,0,7,0.20047980282601233
179,0,0,0,7,0.21439424595413192
180,0,0,0,7,0.4305980512057779
181,0,0,0,7,0.1557040374854917
182,1,1,0,7,0.6136978669768821
183,1,0,-1,7,0.539710241915259
184,1,1,0,7,0.5007476807058683
185,0,0,0,7,0.258915621736961
186,0,0,0,7,0.3326552168831535
187,0,1,1,7,0.46195698465415463
188,0,0,0,7,0.37106346027012743
189,1,1,0,7,0.8708341554464653
190,0,0,0,7,0.397349756658929
191,1,0,-1,7,0.509445220983472
192,0,0,0,7,0.2988090085990499
193,0,0,0,7,0.3800783144270771
194,1,1,0,7,0.7050531115321778
195,0,0,0,7,0.17713821970569976
196,1,1,0,7,0.6580139024139571
197,1,1,0,7,0.6314244775202735
198,0,1,1,7,0.4178326381998441
199,0,0,0,7,0.30196285086619845
200,1,1,0,7,0.5393492554824292
201,1,1,0,7,0.7817627255790477
202,0,0,0,7,0.31282117880937776
203,0,0,0,7,0.432614213330135
204,0,0,0,7,0.2043942022866127
205,1,1,0,7,0.6296593685676789
206,0,0,0,7,0.30109404738987805
207,1,1,0,7,0.7133374360548721
208,0,0,0,7,0.28452257989431184
209,0,0,0,7,0.28736639380367085
210,0,0,0,7,0.3785777904034941
211,1,1,0,7,0.6668738819549167
212,1,1,0,7,0.6263184079848206
213,0,0,0,7,0.3531353443696664
214,1,1,0,7,0.6730995019578551
215,0,0,0,7,0.1369860181548323
216,1,1,0,7,0.645036013170247
217,0,1,1,7,0.4455717318363715
218,0,0,0,7,0.3679540322332259
219,0,0,0,7,0.369262088088067
220,0,0,0,7,0.21490851649148868
221,0,0,0,7,0.15078323354798295
222,0,0,0,7,0.07787857140379087
223,0,0,0,7,0.4907769784779856
224,1,1,0,7,0.6902075744424329
225,0,0,0,7,0.24777765003067803
226,1,1,0,7,0.6021775199022501
227,1,0,-1,7,0.6323695330186795
228,1,1,0,7,0.5326625670568912
229,0,0,0,7,0.33927600155793497
230,0,0,0,7,0.15472364065902428
231,0,0,0,7,0.1751192552303219
232,0,0,0,7,0.20302858778803948
233,0,1,1,7,0.4118940900800161
234,0,0,0,7,0.12310664103000667
235,0,0,0,7,0.19618632379145404
236,0,0,0,7,0.16375394676495936
237,0,0,0,7,0.22987708242195518
238,0,0,0,7,0.1484632482424677
239,0,0,0,7,0.463259288917968
240,0,1,1,7,0.48667838207728065
241,0,0,0,7,0.3655459410154185
242,1,0,-1,7,0.6025350556112589
243,0,0,0,7,0.2857773838155492
244,1,0,-1,7,0.6746120336102558
245,0,0,0,7,0.2571951811372916
246,0,0,0,7,0.4008879989515856
247,0,0,0,7,0.43669005018409585
248,1,0,-1,7,0.5037625764682592
249,1,1,0,7,0.8521440049884137
250,0,0,0,7,0.323776143614954
251,0,0,0,7,0.4361098098506322
252,1,1,0,7,0.6747652276536562
253,1,1,0,7,0.5607614641726011
254,0,0,0,7,0.3174246284009158
255,0,0,0,7,0.20753609727831765
256,0,0,0,7,0.3832194967989606
257,0,0,0,7,0.07758629024805117
258,1,0,-1,7,0.5993035935608788
259,1,1,0,7,0.7719731804221256
260,1,0,-1,7,0.6156605935782246
261,1,1,0,7,0.5839712206687796
262,0,0,0,7,0.2091104103073957
263,1,1,0,7,0.5547516463982933
264,0,0,0,7,0.377073979623305
265,1,1,0,7,0.7719731804221256
266,1,1,0,7,0.7985958637389773
267,1,0,-1,7,0.6021775199022501
268,1,1,0,7,0.5697096448328393
269,1,1,0,7,0.6446982577802787
270,1,1,0,7,0.6082631683154048
271,1,1,0,7,0.6785574953118017
272,0,0,0,7,0.18398513310207804
273,1,1,0,7,0.7797010265045382
274,0,0,0,7,0.13913947222824205
275,1,1,0,7,0.6243757217114585
276,1,1,0,7,0.5393747436134079
277,1,1,0,7,0.5641657267125464
278,0,0,0,7,0.2131028703787616
279,0,0,0,7,0.49382813649419194
280,1,0,-1,7,0.6097797003386931
281,0,0,0,7,0.10004187645871282
282,1,1,0,7,0.5947602057076274
283,1,1,0,7,0.5838508469697824
284,1,1,0,7,0.5389314457223927
285,0,0,0,7,0.438515754472805
286,0,0,0,7,0.2389088509037975
287,0,0,0,7,0.38621683515279054
288,1,1,0,7,0.6494059448189267
289,1,1,0,7,0.680115448802209
290,0,1,1,7,0.43391463828326704
291,0,0,0,7,0.3419613067457844
292,1,1,0,7,0.5393492554824292
293,0,0,0,7,0.27888532208745054
294,1,1,0,7,0.6586157334299065
295,0,0,0,7,0.29725837978298036
296,0,0,0,7,0.13562018324383143
297,0,0,0,7,0.25187519065072844
298,0,0,0,7,0.23536545315132212
299,0,0,0,7,0.17951331126876535
300,0,0,0,7,0.1831128968916578
301,0,0,0,7,0.29227786994776384
302,1,1,0,7,0.6866399044559051
303,0,0,0,7,0.14867633982621242
304,0,1,1,7,0.44578193984565745
305,0,0,0,7,0.34666681275948774
306,0,1,1,7,0.4748959395184858
307,0,0,0,7,0.2827885216331015
308,0,0,0,7,0.2258869298433687
309,1,1,0,7,0.7127554214203135
310,0,0,0,7,0.27275503983446503
311,1,1,0,7,0.6968985870847276
312,1,1,0,7,0.6539078570053778
313,1,1,0,7,0.5828747148324959
314,0,0,0,7,0.4583956615279152
315,1,0,-1,7,0.5227240777444258
316,1,1,0,7,0.5999156832189304
317,1,1,0,7,0.6032508916707341
318,0,0,0,7,0.28932629744608
319,0,1,1,7,0.45455986512247437
320,1,1,0,7,0.6401829497925123
321,0,0,0,7,0.4335270626454794
322,1,1,0,7,0.6853561932638721
323,0,0,0,7,0.2888638106083973
