fold,F1_macro,F1_weighted,BalAcc,Acc,Precision,Recall,ROC_AUC,Acc_class_0,Acc_class_1
1,0.712511091393079,0.7471162377994677,0.7083333333333334,0.75,0.6363636363636364,0.5833333333333334,0.8333333333333333,0.8333333333333334,0.5833333333333334
2,0.6989966555183946,0.7268673355629878,0.7083333333333333,0.7222222222222222,0.5714285714285714,0.6666666666666666,0.7916666666666667,0.75,0.6666666666666666
3,0.5909090909090908,0.6212121212121212,0.6041666666666667,0.6111111111111112,0.4375,0.5833333333333334,0.6545138888888888,0.625,0.5833333333333334
4,0.6782522343594837,0.7288977159880835,0.6666666666666666,0.75,0.7142857142857143,0.4166666666666667,0.7777777777777778,0.9166666666666666,0.4166666666666667
5,0.6824378508420208,0.7030205827318898,0.7083333333333333,0.6944444444444444,0.5294117647058824,0.75,0.7708333333333334,0.6666666666666666,0.75
6,0.7401764234161989,0.7570168404170007,0.7708333333333334,0.75,0.5882352941176471,0.8333333333333334,0.7951388888888888,0.7083333333333334,0.8333333333333334
7,0.75,0.7777777777777778,0.75,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.8645833333333334,0.8333333333333334,0.6666666666666666
8,0.6727272727272727,0.7151515151515153,0.6666666666666667,0.7222222222222222,0.6,0.5,0.7864583333333333,0.8333333333333334,0.5
9,0.6629787234042553,0.6973049645390071,0.6666666666666667,0.6944444444444444,0.5384615384615384,0.5833333333333334,0.7465277777777778,0.75,0.5833333333333334
10,0.6727272727272727,0.7151515151515153,0.6666666666666667,0.7222222222222222,0.6,0.5,0.9027777777777778,0.8333333333333334,0.5
