idx,y_pred,y_true,residual,fold,proba_pos
0,1,0,-1,2,0.6887700596130073
1,0,0,0,1,0.26375036078306086
2,0,0,0,4,0.2772013005327437
3,0,0,0,5,0.37141638010557676
4,1,1,0,5,0.738769862499651
5,1,0,-1,5,0.683859052532462
6,0,1,1,10,0.43464742321192257
7,1,0,-1,8,0.6542430129039388
8,1,1,0,9,0.542848540471684
9,0,1,1,3,0.44935025072125273
10,0,1,1,10,0.4743039842757283
11,0,0,0,10,0.34320992121543453
12,0,0,0,4,0.39484608160361245
13,0,0,0,1,0.19846106533038552
14,1,0,-1,6,0.5526967948662137
15,1,1,0,2,0.700878542785889
16,1,1,0,9,0.5471301418708286
17,1,0,-1,2,0.5018435872550908
18,0,0,0,9,0.06633924142147192
19,0,0,0,5,0.24857502272254323
20,1,0,-1,8,0.5075833075971569
21,1,1,0,6,0.6257492943777211
22,1,0,-1,5,0.5663975977810208
23,0,1,1,9,0.42684643551945817
24,1,0,-1,10,0.5061542309748518
25,1,1,0,10,0.5055407695642031
26,0,0,0,8,0.45829536943219257
27,0,0,0,1,0.26836276063668874
28,0,1,1,10,0.4662206601926278
29,1,1,0,5,0.5667401008314686
30,0,0,0,7,0.22571588376124527
31,0,0,0,6,0.3343645414344604
32,0,1,1,7,0.4868806600713919
33,0,0,0,6,0.3312557316832466
34,1,1,0,7,0.706076170006967
35,1,1,0,8,0.510638703113021
36,1,0,-1,1,0.8421924506543735
37,0,0,0,10,0.2047016172791258
38,1,1,0,2,0.5712289562462104
39,0,0,0,2,0.15751966300749376
40,0,0,0,8,0.17340205463728323
41,0,0,0,7,0.46486363373898343
42,0,0,0,1,0.13972812979246585
43,0,0,0,9,0.43731027284507734
44,0,0,0,10,0.3133050285543411
45,0,0,0,7,0.42401091786199396
46,1,1,0,1,0.591697037478899
47,1,1,0,10,0.7087214042119668
48,1,0,-1,5,0.5610023667922813
49,0,0,0,10,0.23134121106213612
50,0,0,0,2,0.4183146372696145
51,0,0,0,8,0.2548199352108258
52,1,1,0,6,0.7517522430872694
53,0,0,0,1,0.08722161933014158
54,1,0,-1,3,0.6452641333719268
55,0,0,0,9,0.4744136524299766
56,0,1,1,9,0.3668498089700375
57,1,1,0,5,0.6206958207104047
58,0,0,0,3,0.23550324338434683
59,0,0,0,4,0.33921716483216074
60,0,0,0,8,0.19566232605751988
61,0,0,0,10,0.33420577005991053
62,0,0,0,5,0.2834136072288337
63,0,0,0,10,0.16939932695126173
64,1,1,0,10,0.6533859360285745
65,0,0,0,1,0.15671749865714824
66,1,0,-1,7,0.5117084256483916
67,0,0,0,3,0.2606191094866956
68,1,1,0,9,0.58620333252828
69,0,0,0,7,0.37528123821808623
70,0,1,1,10,0.41935638914712814
71,1,0,-1,2,0.6329162459625507
72,0,0,0,6,0.18640539075034393
73,1,1,0,7,0.6367145085372273
74,0,1,1,10,0.4393835048173198
75,1,1,0,10,0.7161496540834423
76,0,0,0,3,0.4143565376807892
77,0,0,0,9,0.27635867501315253
78,0,1,1,7,0.41464919927254335
79,1,1,0,1,0.7076223064792759
80,0,0,0,8,0.23613030439030216
81,0,0,0,9,0.27126214849446745
82,0,1,1,4,0.3495379404039665
83,1,1,0,6,0.5666359626304682
84,0,0,0,9,0.4649648361317205
85,0,0,0,10,0.2987616328254522
86,0,0,0,9,0.23050100989661015
87,1,0,-1,5,0.5683044359809158
88,1,1,0,3,0.5187785960078057
89,1,1,0,4,0.6909610359919918
90,0,0,0,10,0.4033876557901278
91,0,0,0,4,0.27273348187951457
92,1,0,-1,6,0.6489920021020515
93,0,0,0,4,0.40615291713157453
94,1,1,0,7,0.6525081407640545
95,0,0,0,6,0.4439225149825581
96,1,0,-1,6,0.6623496444992834
97,0,0,0,3,0.12002950592786252
98,0,0,0,5,0.4438315069365796
99,1,0,-1,3,0.5022192889819098
100,1,0,-1,5,0.5494269725632904
101,0,0,0,4,0.1516174179271756
102,0,1,1,9,0.36131936803348297
103,1,1,0,7,0.6348738251220979
104,0,0,0,5,0.1372820659150905
105,0,0,0,9,0.20724303240982395
106,0,0,0,8,0.13844143824714888
107,0,0,0,5,0.14284271925355194
108,1,1,0,1,0.5849775039587611
109,0,0,0,2,0.2341856705642403
110,1,0,-1,6,0.6292524917930621
111,0,0,0,4,0.0711153996855768
112,0,0,0,4,0.4500123477134285
113,1,0,-1,1,0.5841123035881669
114,1,0,-1,3,0.5816725927253387
115,0,1,1,8,0.302595074799054
116,0,0,0,7,0.2824973278128561
117,0,0,0,7,0.38714648662924256
118,1,0,-1,5,0.5436109613494888
119,1,1,0,1,0.5416766041715543
120,1,1,0,10,0.8058376952707862
121,0,0,0,3,0.28423006869530304
122,0,0,0,9,0.3365336021856572
123,0,1,1,3,0.34254708002577894
124,1,0,-1,9,0.5631958953706472
125,0,0,0,6,0.22002232822924472
126,0,0,0,2,0.27015041479484475
127,0,1,1,5,0.3278992182233747
128,0,0,0,1,0.4648178075605052
129,1,1,0,5,0.5687674400495755
130,1,1,0,6,0.7335994701554385
131,0,0,0,2,0.1598843906747085
132,1,1,0,3,0.5694220736711525
133,0,0,0,2,0.3184185301566413
