idx,y_pred,y_true,residual
0,5.144956,5.698970,-0.554014
1,4.064751,3.049218,1.015533
2,4.064718,2.903090,1.161628
3,5.041827,2.954243,2.087584
5,4.719576,3.322219,1.397357
6,4.967140,5.301030,-0.333890
7,5.196497,4.086360,1.110138
8,5.362743,6.035710,-0.672967
9,5.043374,5.954243,-0.910869
10,5.554091,3.949390,1.604701
11,4.519642,5.742725,-1.223083
12,4.232156,3.661813,0.570344
13,4.905734,3.505150,1.400584
14,4.521820,5.094820,-0.573000
15,4.805562,3.397940,1.407622
18,4.223235,5.238046,-1.014811
20,3.539988,3.823474,-0.283486
21,4.345589,3.838849,0.506740
23,4.786955,6.041393,-1.254438
24,5.199225,3.881385,1.317841
25,5.049912,5.576341,-0.526430
26,6.596040,6.823539,-0.227499
27,6.533572,6.397940,0.135632
28,6.277583,6.707570,-0.429988
29,6.749075,6.397940,0.351134
30,5.717240,6.558709,-0.841468
31,5.717207,6.107549,-0.390342
32,5.288056,4.193681,1.094375
33,6.262248,5.929419,0.332829
34,6.140071,6.531479,-0.391407
36,6.105705,6.372912,-0.267207
37,6.374331,6.384891,-0.010560
38,6.331211,6.325844,0.005367
39,7.428570,7.000000,0.428570
40,6.587375,6.875061,-0.287686
41,6.568758,6.835056,-0.266298
42,6.719332,7.079181,-0.359849
43,5.403494,4.072985,1.330510
44,5.550867,5.113943,0.436924
45,4.075434,5.096910,-1.021476
47,6.017492,6.240549,-0.223057
48,4.308696,5.278754,-0.970057
49,5.968014,6.255273,-0.287258
51,5.695174,6.313867,-0.618693
52,6.098690,6.361728,-0.263038
53,6.172095,6.602060,-0.429964
54,5.705435,6.649335,-0.943900
55,6.172028,6.041393,0.130636
56,5.495274,5.901295,-0.406021
57,5.207788,6.447158,-1.239370
58,5.881366,4.681241,1.200125
59,5.981182,5.815046,0.166136
60,5.436699,4.992819,0.443880
61,3.968291,3.204120,0.764171
62,6.075533,6.875061,-0.799528
63,6.552870,6.890980,-0.338109
64,6.175025,6.000000,0.175025
65,5.051920,4.500374,0.551546
66,6.146376,6.397940,-0.251564
67,6.195784,6.447158,-0.251374
68,5.480809,7.267172,-1.786362
69,5.862413,5.045714,0.816699
70,6.231635,6.230449,0.001186
71,4.039112,4.127105,-0.087993
72,5.815636,6.000000,-0.184364
73,6.387424,5.715167,0.672257
74,5.941265,6.024046,-0.082781
75,2.599027,3.645422,-1.046395
76,4.142646,3.146128,0.996518
77,2.598960,2.875061,-0.276101
78,3.737498,3.301030,0.436468
79,3.985471,3.313867,0.671604
80,4.462426,5.905796,-1.443370
81,4.273288,2.698970,1.574318
82,3.498186,4.146128,-0.647942
83,3.276608,3.243038,0.033570
84,3.884457,2.653213,1.231245
85,4.271547,2.108903,2.162643
86,4.071558,3.778151,0.293406
87,4.071524,3.301030,0.770494
88,4.365898,3.000000,1.365898
89,4.431364,4.431364,-0.000000
90,4.056017,4.423246,-0.367229
91,4.465356,4.431364,0.033992
92,4.316042,5.544068,-1.228026
94,4.486115,3.158362,1.327752
95,3.827320,2.740363,1.086957
96,3.771107,3.623249,0.147857
97,5.916991,5.375093,0.541899
98,6.224073,6.361728,-0.137655
99,5.966335,6.409933,-0.443598
100,6.743591,6.477121,0.266470
101,6.340107,7.021189,-0.681083
102,5.396043,3.413300,1.982744
103,5.355530,4.260071,1.095459
104,6.171891,6.000000,0.171891
105,6.119204,6.740363,-0.621159
106,6.339784,6.099232,0.240552
107,6.278352,6.431364,-0.153012
108,5.749708,4.646404,1.103304
109,6.173974,6.142702,0.031272
110,6.196847,6.431364,-0.234517
111,6.208178,6.192584,0.015594
112,6.033804,6.238046,-0.204242
113,6.047231,6.950851,-0.903621
114,6.145563,4.819544,1.326019
115,5.684680,4.716504,0.968176
117,5.967479,5.716003,0.251476
118,6.207452,6.397940,-0.190488
120,6.100758,6.614897,-0.514140
121,5.395726,5.009026,0.386700
122,5.443646,5.373831,0.069815
123,5.931230,6.477121,-0.545892
124,5.829739,4.862251,0.967488
125,6.075683,6.466868,-0.391185
126,6.333263,5.188084,1.145178
128,5.705023,6.146128,-0.441105
129,5.929421,5.326336,0.603085
130,5.729431,6.768638,-1.039207
131,6.023805,5.485721,0.538084
132,6.061493,5.507073,0.554420
133,5.066223,5.083610,-0.017387
134,6.186806,6.156852,0.029954
135,6.501041,5.676694,0.824348
136,7.331633,7.252853,0.078780
137,6.485673,6.301030,0.184643
138,6.126481,6.477121,-0.350640
139,6.100463,6.361728,-0.261265
140,5.815187,6.079181,-0.263994
141,5.265054,4.396199,0.868855
142,5.977085,6.147058,-0.169973
143,6.119662,5.195457,0.924205
144,6.143787,5.643551,0.500236
145,5.484992,6.016197,-0.531205
146,6.513172,6.079181,0.433990
147,5.849913,6.146128,-0.296215
148,5.428712,6.000000,-0.571288
150,5.840559,6.577492,-0.736933
151,6.560246,5.472756,1.087490
152,6.237678,6.334454,-0.096775
155,6.822904,7.483587,-0.660684
156,7.568411,8.041393,-0.472982
158,7.158888,6.479394,0.679495
160,6.761375,6.320146,0.441229
161,6.315809,6.397940,-0.082131
162,6.222359,6.113943,0.108416
163,6.761274,6.201397,0.559877
164,6.699688,6.986772,-0.287084
165,6.542173,6.474216,0.067957
166,6.389083,6.004136,0.384947
167,6.441792,6.477121,-0.035330
168,6.352968,6.434888,-0.081920
169,6.923149,8.122544,-1.199394
170,6.396024,6.281033,0.114991
171,6.273949,5.953421,0.320527
172,5.851156,6.518514,-0.667358
173,6.398083,6.556423,-0.158340
174,6.360443,6.348305,0.012138
175,-0.529470,1.954243,-2.483712
176,2.009214,2.602060,-0.592846
177,2.171604,1.301030,0.870574
178,2.131091,1.954918,0.176173
179,2.809634,2.000000,0.809634
181,2.445076,3.164353,-0.719276
182,2.822993,1.390935,1.432057
183,3.125493,2.955207,0.170287
184,2.896364,3.562293,-0.665928
185,2.605769,1.926857,0.678913
186,3.548594,1.146128,2.402466
187,3.109293,2.851258,0.258035
188,2.764090,2.000000,0.764090
189,3.652444,3.539452,0.112992
191,2.350885,2.273233,0.077652
192,1.776323,2.579784,-0.803461
193,2.261460,0.633468,1.627991
194,4.872174,6.079181,-1.207007
195,5.442331,5.023952,0.418379
196,4.872107,6.232234,-1.360127
197,4.920348,3.247973,1.672374
198,5.120047,6.302547,-1.182501
199,5.523563,4.598572,0.924991
200,4.797111,4.812913,-0.015803
201,4.850456,3.562293,1.288164
202,5.596901,6.806180,-1.209279
203,4.920146,5.782473,-0.862327
204,4.898611,6.054958,-1.156347
205,6.221100,6.151247,0.069853
206,5.538228,3.903633,1.634595
207,4.476960,6.501059,-2.024099
208,4.956892,4.892762,0.064130
209,7.197506,7.068186,0.129321
210,4.905850,3.480007,1.425843
211,4.471425,4.336460,0.134965
212,5.269966,5.000000,0.269966
213,5.752083,6.000000,-0.247917
214,3.692451,5.445604,-1.753153
215,2.129848,1.778151,0.351697
216,2.858941,2.400538,0.458404
218,4.685134,3.653213,1.031922
219,4.881408,5.000000,-0.118592
220,5.515405,5.149219,0.366186
221,3.352248,4.101747,-0.749499
222,5.936860,6.255273,-0.318412
223,5.799038,6.361728,-0.562690
224,6.351933,6.421604,-0.069671
225,6.555546,6.176091,0.379455
226,6.374085,6.113943,0.260141
227,6.336445,6.313867,0.022578
228,6.240151,6.544068,-0.303917
229,6.186671,5.993877,0.192794
230,6.317011,6.544068,-0.227057
231,6.033710,6.187521,-0.153811
232,6.068254,6.526985,-0.458731
233,6.422694,6.100371,0.322324
234,4.938950,5.806180,-0.867230
235,5.699335,5.093422,0.605913
236,4.812468,3.963788,0.848681
237,5.473208,6.075145,-0.601937
238,6.922207,7.146128,-0.223921
239,4.758845,4.792392,-0.033547
240,6.567571,6.863323,-0.295752
241,6.216701,6.531479,-0.314778
242,6.140447,4.472025,1.668422
243,5.716843,5.315970,0.400873
244,6.051491,6.266114,-0.214623
246,6.167123,6.109916,0.057207
247,6.408911,6.539076,-0.130165
248,6.604666,6.342817,0.261849
249,2.945101,2.079181,0.865920
250,5.646208,5.202352,0.443856
251,6.386558,6.409764,-0.023206
252,6.525599,6.477121,0.048477
