fold,R2,RMSE,MAE
1,0.4561571458899618,0.7487164283929123,0.5848186907605094
2,0.5446881637728078,0.7832458098590578,0.6181104238612362
3,0.3343837107618145,0.8103819883044072,0.6473423857355396
4,0.5649125277061088,0.837480329733745,0.6697160926480705
5,0.5213123552108088,0.8403833473866604,0.6662175835911555
6,0.5373893730165238,0.7749265011800766,0.5986457426113574
7,0.5677623694310269,0.7917019320705969,0.6071143409648329
8,0.6384175337545848,0.7087599410515066,0.5530246809727272
9,0.4280310556388546,0.7940579536951743,0.6212568006852424
10,0.5622326323797779,0.8135148073599071,0.6435380462789706
