idx,y_pred,y_true,residual
0,5.183702,5.698970,-0.515268
1,3.705251,3.049218,0.656033
2,3.705244,2.903090,0.802154
3,4.852290,2.954243,1.898048
4,5.096786,3.908485,1.188301
5,4.613808,3.322219,1.291588
6,4.836203,5.301030,-0.464827
8,5.379151,6.035710,-0.656559
9,4.835707,5.954243,-1.118535
10,5.257762,3.949390,1.308372
12,3.980118,3.661813,0.318305
13,4.674044,3.505150,1.168894
14,4.276134,5.094820,-0.818687
15,4.672798,3.397940,1.274858
16,4.924698,3.832509,1.092189
17,5.466576,5.602060,-0.135484
18,4.149593,5.238046,-1.088454
19,3.781732,3.079181,0.702550
20,3.490198,3.823474,-0.333276
21,4.278849,3.838849,0.440000
22,4.219688,3.505150,0.714538
23,4.564985,6.041393,-1.476408
24,4.994260,3.881385,1.112875
25,4.845524,5.576341,-0.730818
26,6.485267,6.823539,-0.338273
27,6.369583,6.397940,-0.028357
29,6.620450,6.397940,0.222510
30,5.655302,6.558709,-0.903407
31,5.655295,6.107549,-0.452254
32,5.569256,4.193681,1.375575
33,6.225988,5.929419,0.296569
34,6.112550,6.531479,-0.418929
35,6.242600,6.414973,-0.172374
37,6.382134,6.384891,-0.002757
39,7.362035,7.000000,0.362035
40,6.502378,6.875061,-0.372684
41,6.682230,6.835056,-0.152826
42,6.778494,7.079181,-0.300687
43,5.355534,4.072985,1.282549
44,5.593220,5.113943,0.479276
45,4.018305,5.096910,-1.078605
46,5.275916,5.342423,-0.066506
47,5.999026,6.240549,-0.241524
48,4.221197,5.278754,-1.057556
49,6.014568,6.255273,-0.240705
50,5.466998,5.023541,0.443458
51,5.760529,6.313867,-0.553338
52,6.093957,6.361728,-0.267771
53,6.129039,6.602060,-0.473021
54,5.843528,6.649335,-0.805806
55,6.129025,6.041393,0.087632
56,5.477189,5.901295,-0.424106
58,5.820772,4.681241,1.139531
59,5.914595,5.815046,0.099548
60,5.216314,4.992819,0.223496
62,6.041915,6.875061,-0.833146
63,6.546157,6.890980,-0.344823
64,6.141024,6.000000,0.141024
65,4.965659,4.500374,0.465285
66,5.928138,6.397940,-0.469802
67,6.277461,6.447158,-0.169697
68,5.478672,7.267172,-1.788500
69,6.000552,5.045714,0.954838
70,6.207933,6.230449,-0.022516
71,4.156642,4.127105,0.029538
72,5.798553,6.000000,-0.201447
73,6.430137,5.715167,0.714969
74,6.045094,6.024046,0.021048
76,4.105048,3.146128,0.958919
77,2.443167,2.875061,-0.431895
78,3.688975,3.301030,0.387945
80,4.351023,5.905796,-1.554773
81,4.104036,2.698970,1.405066
82,3.348845,4.146128,-0.797283
83,3.210534,3.243038,-0.032504
84,3.528921,2.653213,0.875708
85,4.136586,2.108903,2.027683
86,4.041517,3.778151,0.263366
87,4.041510,3.301030,0.740480
88,4.263906,3.000000,1.263906
91,4.363008,4.431364,-0.068356
92,4.214272,5.544068,-1.329796
93,4.150122,3.000000,1.150122
94,4.499445,3.158362,1.341082
95,3.658393,2.740363,0.918030
96,3.700648,3.623249,0.077399
97,6.029778,5.375093,0.654685
98,6.199420,6.361728,-0.162307
99,6.014207,6.409933,-0.395726
100,6.858697,6.477121,0.381575
101,6.258695,7.021189,-0.762494
102,5.482179,3.413300,2.068880
103,5.419590,4.260071,1.159519
104,6.207762,6.000000,0.207762
105,6.079318,6.740363,-0.661045
106,6.448973,6.099232,0.349741
107,6.304303,6.431364,-0.127061
109,6.233943,6.142702,0.091241
110,6.275353,6.431364,-0.156011
111,6.416434,6.192584,0.223849
112,6.099875,6.238046,-0.138171
113,6.109073,6.950851,-0.841779
115,5.728596,4.716504,1.012092
116,6.144141,6.612784,-0.468643
117,5.997537,5.716003,0.281534
118,6.227340,6.397940,-0.170600
119,5.783030,6.077259,-0.294229
120,6.190610,6.614897,-0.424287
121,5.316864,5.009026,0.307838
122,5.492269,5.373831,0.118438
123,5.897110,6.477121,-0.580011
124,5.835852,4.862251,0.973602
125,6.088072,6.466868,-0.378796
126,6.316811,5.188084,1.128727
127,6.165830,6.079181,0.086649
128,5.876405,6.146128,-0.269723
129,5.929646,5.326336,0.603310
130,5.834577,6.768638,-0.934061
131,6.056974,5.485721,0.571252
132,6.106173,5.507073,0.599101
134,6.305947,6.156852,0.149095
135,6.561193,5.676694,0.884500
136,7.257196,7.252853,0.004343
137,6.431313,6.301030,0.130283
138,5.738026,6.477121,-0.739095
139,6.086420,6.361728,-0.275308
140,5.780643,6.079181,-0.298538
141,5.365639,4.396199,0.969439
142,5.954480,6.147058,-0.192578
