fold,R2,RMSE,MAE
1,0.7165454784449032,0.6203309366489964,0.49188990103375724
2,0.7142048082383105,0.6150576543177381,0.4858282512162298
3,0.7214588927479404,0.61635263098636,0.4869717852198948
4,0.7120981272221123,0.6102026806401907,0.48152124868576907
5,0.7099133913908537,0.616251504594867,0.4863878444537339
6,0.7119107079245179,0.618505072753067,0.4900292417597387
7,0.7092047174566649,0.6172991685882024,0.48754594635349857
8,0.6996389883083112,0.6293908411728703,0.49982411051864517
9,0.7189532094217491,0.6161968940918379,0.48557105612174006
10,0.7089247013097677,0.6163821649746779,0.48971753543205726
