n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,R2_train,R2_valid
300,10,12,2,0.1,0.6307020599590363,0.4978774936271996
300,10,12,2,0.2,0.6478017926828841,0.5065208178755745
300,10,12,4,0.1,0.6097897966037028,0.4932675679340712
300,10,12,4,0.2,0.6285477671153026,0.4988484825895019
300,10,16,2,0.1,0.6211571919661941,0.49438469490755066
300,10,16,2,0.2,0.638270626417673,0.5041513571458296
300,10,16,4,0.1,0.6027972336428293,0.4876852397667958
300,10,16,4,0.2,0.6196921278219465,0.49665821821561595
300,15,12,2,0.1,0.6940168643452127,0.5034929182542778
300,15,12,2,0.2,0.7103775569818405,0.5074652133949781
300,15,12,4,0.1,0.6610108104781013,0.4944679958202657
300,15,12,4,0.2,0.6803016944789201,0.5022519850924753
300,15,16,2,0.1,0.6797118705217376,0.5032784519212532
300,15,16,2,0.2,0.6947178460028711,0.5065955493390143
300,15,16,4,0.1,0.6503997717444054,0.48914247169326863
300,15,16,4,0.2,0.6672852752670628,0.49993461350437085
300,20,12,2,0.1,0.7255624528277511,0.5065782682933789
300,20,12,2,0.2,0.743219729609836,0.507375380662038
300,20,12,4,0.1,0.6853295098491702,0.49170518171288247
300,20,12,4,0.2,0.7069839465266294,0.5009095195078521
300,20,16,2,0.1,0.7102030091816377,0.4987674015230519
300,20,16,2,0.2,0.7250295329751465,0.5037645927679668
300,20,16,4,0.1,0.6729912192209805,0.49450214686288196
300,20,16,4,0.2,0.6915571635813891,0.502753567600845
300,25,12,2,0.1,0.7444278282187962,0.5027446275524543
300,25,12,2,0.2,0.7602985391784591,0.5052889135377021
300,25,12,4,0.1,0.6986943350948731,0.4969419483925904
300,25,12,4,0.2,0.7192273516463434,0.5002297023013382
300,25,16,2,0.1,0.7258882034992838,0.502366656933035
300,25,16,2,0.2,0.7407667505841978,0.5039546629486036
300,25,16,4,0.1,0.6845516541348665,0.4942438856353778
300,25,16,4,0.2,0.7037849420387929,0.49760230190495824
400,10,12,2,0.1,0.630478155934459,0.4993689731378975
400,10,12,2,0.2,0.6473354433464957,0.5072155283867966
400,10,12,4,0.1,0.6094115901573852,0.4934882479114112
400,10,12,4,0.2,0.6280012277455869,0.49998186526193433
400,10,16,2,0.1,0.6209580085151363,0.4961053499057406
400,10,16,2,0.2,0.6377103816904358,0.5041408757417483
400,10,16,4,0.1,0.60205188455936,0.4899332254261618
400,10,16,4,0.2,0.6188585369278772,0.4969601384539497
400,15,12,2,0.1,0.6938321469190436,0.5051016676808733
400,15,12,2,0.2,0.7102328029591105,0.5074843396502404
400,15,12,4,0.1,0.6605317904874444,0.49412888319533577
400,15,12,4,0.2,0.6801549326342438,0.5014095172317691
400,15,16,2,0.1,0.6791112141395992,0.5031064326786792
400,15,16,2,0.2,0.6944856619236923,0.5064339170942151
400,15,16,4,0.1,0.6498247850434049,0.49034186860783424
400,15,16,4,0.2,0.6672019295465185,0.5012002912339166
400,20,12,2,0.1,0.7258423837793583,0.5062652150204805
400,20,12,2,0.2,0.7431152563937256,0.507409399222426
