fold,R2,RMSE,MAE
1,0.32584977058653,0.8336024697461709,0.6354341585120272
2,0.34879099957237314,0.9367070895228867,0.6991835988947135
3,0.23592439803059284,0.868252365229913,0.6849719656224534
4,0.565625226020319,0.8367941281251102,0.6749245781947565
5,0.4895581507662332,0.8678096309646249,0.6549716212622132
6,0.42492225025278996,0.8640044774798746,0.6588808197281889
7,0.48201831743047974,0.8666776935569569,0.6671364904426983
8,0.5733336360555914,0.7699095123396791,0.5789600668849071
9,0.393459431688014,0.8177035866234336,0.6288415071984614
10,0.5467850908093568,0.8277436616514794,0.6531480016281205
