fold,R2,RMSE,MAE
1,0.5548057850007203,0.7774214194774512,0.6040257333810757
2,0.5498561237944772,0.7719053337034042,0.6100093695455214
3,0.6425284330175491,0.698241017377866,0.5332185792559705
4,0.6369755278587728,0.6852038863120392,0.52792057941656
5,0.6153960652971122,0.7095794242942595,0.5551567062550359
6,0.5159189114790368,0.8017496259015321,0.6110641242319299
7,0.5402171716774495,0.7762084876760861,0.5912642428149354
8,0.6218509939356316,0.7062039155698266,0.5480216517969848
9,0.5876637374738303,0.7463730591957312,0.5729212012071073
10,0.5386675507964335,0.7759868997931076,0.6053813094344268
