fold,R2,RMSE,MAE
1,0.8152529796382072,0.5008070885043167,0.34871126091842986
2,0.8182791905890109,0.49044543883629793,0.3398672998400352
3,0.8159541385141387,0.5010114294586963,0.3470397502487226
4,0.8079131704071592,0.49842596741817374,0.3464454064267092
5,0.8121010880555027,0.4959710015500342,0.3435723052950018
6,0.8066226258375666,0.5067369079407034,0.35134854920404796
7,0.807194880977818,0.5026449154627616,0.3450830874223254
8,0.80424029009144,0.5081129877763998,0.3512149506250261
9,0.817537380702176,0.49649758720883025,0.34484938805899323
10,0.8085725470860707,0.4998612816617018,0.34847190463931366
