SMILES,count
O=C([*])C(C)O[*],243
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,225
[*]OCC[*],191
[*]C(C)C[*],184
[*]C(CCCCCO[*])=O,164
[*]C([H])([H])C(O)([H])[*],163
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,155
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,114
[*]CC[*],113
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,108
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],95
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],94
[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,91
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,89
[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,84
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,73
[*]CCN[*],69
O=C([*])CCCCCN[*],66
[*]CC(C1=CC=CC=C1)[*],66
C/C(C[*])=C/C[*],64
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,62
COC(C(C[*])([*])C)=O,61
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,60
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,53
[*]CC(C#N)[*],52
C[Si](O[*])(C)[*],51
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],50
O=C(O)C([*])C[*],49
O=C(N)C([*])C[*],46
[*]C(CCCCC(OCCCCO[*])=O)=O,42
[*]CC=CCCC(C#N)[*],40
[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,39
[*]CC([*])Cl,38
O=C(C(C[*])[*])N,37
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,36
[*]CCCC([*])OC(C)=O,34
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,32
[*]CC(C)(C(OCCO)=O)[*],31
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,30
[*]O[C@H](C)CC([*])=O,30
OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,29
[*]NC(C(O)=O)CCC([*])=O,28
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,26
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],25
[*]CCC(CCCCCC)C[*],25
O=C1CCCN1C([*])C[*],24
[*]OCCCCOC(CCC([*])=O)=O,24
[*]C(C)C(OCC(O[*])=O)=O,23
OCC1OC(C(C(C1O[*])O)O)[*],23
[*]OC(CC(OC(CC([*])=O)CC)=O)C,23
[*]CCC(CCCC(CCCC(C[*])C)C)C,22
[*]NC(CCCCNC(C(C)=C)=O)C(N1CCCC1C(NCC(N2CC(O)CC2C(NC(COC(C(C)=C)=O)C(NCC([*])=O)=O)=O)=O)=O)=O,20
OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,20
C[Si](C)(C[*])O[*],20
[*]CC(OC(O[*])=O)C,19
[*]C1=CC=C([*])N1,18
OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],17
[*]C(F)(C(F)([*])F)F,17
[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],17
[*]CC=CCCC(C1=CC=CC=C1)[*],16
[*]CC([*])N1CCCC1=O,16
CC(CC(C(C(O1)=O)CC1=O)[*])C[*],15
[*]N1C(C2=CC3=C(C=C2C1=O)C(N(C3=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)[*])=O)=O,15
[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,15
[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,15
[*]NCCCCCCCCCCCC([*])=O,15
[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C,14
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,14
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,14
O=C(O[*])CCCCCCCCCCN[*],13
O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O,13
CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,13
OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,12
[*]CCCC(CCCCCC)[*],12
O=C(C1=CC=C(C=C1)C([*])=O)NC2=CC=C(C=C2)N[*],11
O=C([*])C1=CC=C2C=C(C=CC2=C1)OC(C3=CC=C(C=C3)O[*])=O,11
[*]CCCC([*])C(OC)=O,11
[*]C(C=C1)=CC=C1S[*],11
O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],10
[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,10
OC1=C(C=CC=C1CC2=CC=CC([*])=C2O)CC3=CC=CC([*])=C3O,9
[*]CCCCOCCCCOCCCCOCCCCO[*],9
[*]C/C=C(C[*])\Cl,9
[*]CC(CC(C#N)[*])C1=CC=CC=C1,8
[*]C/C=C/C[*],8
[*]CC(C(OCC)=O)[*],8
[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])NC5=C4)=CC=C3N2)=CC=C1,8
[*]C(C(O[*])C)=O,8
OC1C(C(OC(C1O)OC2C(OC(C(C2O)O)OC3C(C(C(OC3C(OC)=O)OC4C(OC(C(C4O)O)[*])C(O)=O)O)O)C(OC)=O)C(O)=O)O[*],8
O=C1C([*])C(CC[*])C(O1)=O,7
[*]CC(C1=CC=CC=C1)C/C=C/C[*],7
[*]CCC1C([*])C2CCC1C2,7
OC(C(C1OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)O)COC4OC(C(C(C4O)O)OC5OC(C(C(C5O)O)OC6OC(C(C(C6O)O[*])O)C)CO)CO)CO)O[*])COC1CO,7
[*]NC(C1=CC=C2C(C(N(C2=O)C3=CC=C(C=C3)CC4=CC=C([*])C=C4)=O)=C1)=O,7
[*]OC1=C(C([*])=CC=C1C)C,7
CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,6
[*]C(C(OC1O[*])COC(C)=O)C(O)C1NC(C)=O,6
[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O,6
[*]CC(O)COC1=CC=C(C(C)(C2=CC=C(O[*])C=C2)C)C=C1,6
[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*],6
[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O,6
O=C([*])CCCCCO[*],6
[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O,6
[*]CC(O)COC(CCCCCCCCC(O[*])=O)=O,6
OC1C(OC(C(C1O)O)[*])CO[*],6
[*]C1=NC2=CC3=C(C=C2O1)OC(C4=CC=C(C=C4)[*])=N3,6
[*]C(OCCCO[*])=O,6
[*]C1C(C(C(OC1C(O[Ca]OC2=O)=O)OC3C2OC(O[*])C(O)C3O)O)O,6
CC(C=C([*])C=C1C)=C1O[*],6
OCC1OC(C(C(C1O[*])O)NC(C)=O)OC2C(O)C(C(OC2CO)[*])NC(C)=O,6
[*]C(C1=CC=C(C=C1)C(OCCCCOC(C2=CC=C(C=C2)C(OCCCCO[*])=O)=O)=O)=O,5
[*]NC(CCC([*])=O)C(O)=O,5
[*]C1=C(C(C[*])=CC=C1)O,5
[*]C1=C2C(OCCO2)=C([*])S1,5
[*]CCCCO[*],5
O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*],5
O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],5
CCCCCCC1=C(SC([*])=C1)[*],5
CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O,5
[*]OC1OC(CO)C(O)C(OC2OC(C(NC(CS)C(OC)=O)=O)C(OC[*])C(O)C2O)C1NC(C)=O,4
