SMILE A,SMILE B
O=C([*])C1=CC=C2C=C(C=CC2=C1)OC(C3=CC=C(C=C3)O[*])=O,[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O
CC(CC(C(C(O1)=O)CC1=O)[*])C[*],O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*]
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,[*]C(C)(C(OCCN(C)C)=O)C[*]
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[*]OC1C(C(C(OC1C)OC2C(C(OC(C2O)COC(C)=O)OC3C(C(C(OC3C(O)=O)OC4C(C(C(OC4CO)O[*])O)O)O)O)OC(C(O)CO)=O)O)O
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*]
[*]OC1OC(CO)C(O)C(OC2OC(C(NC(CS)C(OC)=O)=O)C(OC[*])C(O)C2O)C1NC(C)=O,[*]C(C(OC(O[*])C=O)CO)C=O
[*]OC(CC(OC(CC([*])=O)CC)=O)C,[*]C1=CC=C([*])N1
O=C([*])CCCCCN[*],[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O
[*]C(C)C[*],OC1C(OC(C(C1O)O)[*])CO[*]
O=S(C(C=C1)=CC=C1OC(C=C2)=CC=C2C(C)(C)C(C=C3)=CC=C3O[*])(C4=CC=C([*])C=C4)=O,[*]C/C=C/CCC(C/C=C\C[*])C=C
[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],CC(C=C([*])C=C1C)=C1O[*]
[*]CCCC([*])OC(C)=O,[*]C1C(C(C(OC1C(O[Ca]OC2=O)=O)OC3C2OC(O[*])C(O)C3O)O)O
[*]OCC[*],[*]CCN[*]
[*]C([H])([H])C(O)([H])[*],[*]C1=C(C(C[*])=CC=C1)O
[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],[*]CC(C)(C(OCCO)=O)[*]
[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*]
[*]CCC1C([*])C2CCC1C2,[*]OC1OC(CO)C(O)C(OC2OC(C(NC(CS)C(OC)=O)=O)C(OC[*])C(O)C2O)C1NC(C)=O
OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],CC(C=C([*])C=C1C)=C1O[*]
O=C(O[*])CCCCCCCCCCN[*],[*]C(C1=CC=C(C=C1)C(OCCCCOC(C2=CC=C(C=C2)C(OCCCCO[*])=O)=O)=O)=O
[*]CC([*])N1CCCC1=O,[*]C(C1=CC=C(C(NC2=CC=C(N[*])C=C2)=O)C=C1)=O
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,O=C([*])C1=CC=C2C=C(C=CC2=C1)OC(C3=CC=C(C=C3)O[*])=O
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])NC5=C4)=CC=C3N2)=CC=C1
[*]CC[*],[*]CCCCO[*]
[*]CC(CC(C#N)[*])C1=CC=CC=C1,[*]CC(C1=CC=C(C=C1)S(=O)(O[Na])=O)[*]
[*]C(CCCCC(OCCCCO[*])=O)=O,[*]OC(CC(OC(CC([*])=O)CC)=O)C
