SMILE A,SMILE B,SMILE C,Young's Modulus (kPa) log10,Swelling Ratio (times),来源,Young's Modulus (kPa)
C/C(C[*])=C/C[*],OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,,5.301029995663981,,10.1007_s10570-021-04082-4_part_2.txt_段1_Material1,200000.00000000003
C/C(C[*])=C/C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,4.086359830674748,,10.1002_mame.201000444_part_2.txt_段1_Material1,12200.000000000004
C/C(C[*])=C/C[*],[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,5.0948203803548,,10.1016_j.compositesa.2021.106601_part_2.txt_段1_Material1,124399.9999999999
COC(C(C[*])([*])C)=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,6.361727836017593,,10.1080_10667857.2018.1541212_part_1.txt_段1_Material1,2300000.000000001
COC(C(C[*])([*])C)=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,6.6020599913279625,,10.1021_acsomega.9b00388_part_2.txt_段1_Material1,4000000.000000001
COC(C(C[*])([*])C)=O,OCC1OC(C(C(C1O[*])O)NC(C)=O)OC2C(O)C(C(OC2CO)[*])NC(C)=O,,6.649334858712142,,10.1016_j.matdes.2013.11.057_part_2.txt_段1_Material1,4460000.000000001
COC(C(C[*])([*])C)=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,6.041392685158225,,10.1007_s10570-018-1725-3_part_2.txt_段1_Material1,1100000.0000000007
COC(C(C[*])([*])C)=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,6.3979400086720375,,10.1007_s42452-020-2546-1_part_2.txt_段1_Material1,2499999.9999999995
C[Si](O[*])(C)[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,5.905795880367869,,10.3390_polym10091000_part_1.txt_段1_Material1,805000.0000000003
C[Si](O[*])(C)[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,3.0,,10.1002_pc.24445_part_2.txt_段1_Material1,1000.0
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,6.950851458888547,,10.1016_j.colsurfa.2019.05.090_part_1.txt_段1_Material1,8930000.000000007
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],,6.612783856719736,,10.18280_rcma.320204_OA_part_2.txt_段1_Material1,4100000.000000008
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,,5.195456833628169,,10.1088_1757-899x_87_1_012108_part_1.txt_段1_Material1,156840.00000000003
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,6.474216264076255,,10.1016_j.compositesb.2018.12.148_part_5.txt_段1_Material1,2980000.0000000005
O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,6.348304863048161,,10.3139_217.3142_part_1.txt_段1_Material1,2230000.0
O=C(N)C([*])C[*],OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,,2.146128035678238,,10.1016_j.carbpol.2019.115051_part_5.txt_段1_Material1,140.00000000000006
O=C(N)C([*])C[*],OC1C(C(OC(C1O)OC2C(OC(C(C2O)O)OC3C(C(C(OC3C(OC)=O)OC4C(OC(C(C4O)O)[*])C(O)=O)O)O)C(OC)=O)C(O)=O)O[*],,3.164352855784437,,10.1039_c7sm02005h_part_2.txt_段1_Material1,1460.0000000000002
O=C(N)C([*])C[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,1.390935107103379,,10.1002_mame.201800322_part_1.txt_段1_Material1,24.6
O=C(N)C([*])C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,3.562292864456474,,10.1134_s0965545x13050027_part_1.txt_段1_Material1,3649.999999999996
O=C(N)C([*])C[*],[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO,,3.539452491549461,,10.1002_pen.24624_part_2.txt_段1_Material2,3463.000000000001
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,4.598571663482141,,10.3390_polym12010061_part_2.txt_段1_Material1,39679.99999999999
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,,3.562292864456474,,10.1016_j.actbio.2010.03.014_part_1.txt_段1_Material1,3649.999999999996
O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,6.806179973983888,,10.1007_s10570-011-9624-x_part_2.txt_段1_Material1,6400000.000000019
O=C(O)C([*])C[*],CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,,6.0,,10.1016_j.md.2018.01.004_part_4.txt_段1_Material1,1000000.0
O=C(O)C([*])C[*],[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,5.0,,10.1016_j.ijbiomac.2020.06.257_part_2.txt_段1_Material1,100000.0
O=C(O)C([*])C[*],[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,,5.14921911265538,,10.1002_app.40366_part_2.txt_段1_Material1,140999.99999999994
O=C(O[*])CCCCCCCCCCN[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,6.313867220369153,,10.1678_rheology.45.39_part_2.txt_段1_Material1,2059999.9999999995
O=C([*])C(C)O[*],CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,,6.863322860120456,,10.1002_adfm.202008552_part_4.txt_段1_Material2,7300000.0
O=C([*])C(C)O[*],OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,,6.301969226865995,,10.4028_www.scientific.net_amr.747.157_part_1.txt_段1_Material1,2004330.0000000016
O=C([*])C(C)O[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,5.0,,10.1002_app.41004_part_1.txt_段1_Material1,100000.0
