SMILE A,SMILE B,SMILE C,Young's Modulus (kPa) log10,来源,Swelling Ratio (times),Young's Modulus
C/C(C[*])=C/C[*],[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],,3.397940008672037,10.1063_5.0017936_part_1.txt_段1_Material1,,2499.999999999997
C/C(C[*])=C/C[*],[*]CC=CCCC(C1=CC=CC=C1)[*],,3.0791812460476247,10.4028_www.scientific.net_msf.695.332_part_1.txt_段1_Material1,,1199.9999999999995
CC(C=C([*])C=C1C)=C1O[*],[*]CC(CC(C#N)[*])C1=CC=CC=C1,,6.3979400086720375,10.1007_s00396-021-04820-x_part_2.txt_段1_Material2,,2499999.9999999995
CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O,COC(C(C[*])([*])C)=O,,6.531478917042255,10.1016_j.polymer.2015.07.016_part_1.txt_段1_Material3,,3400000.000000002
CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O,[*]C(F)(C(F)([*])F)F,,6.372912002970106,10.1016_j.triboint.2016.03.013_part_1.txt_段1_Material1,,2359999.9999999986
CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,[*]C([H])([H])C(O)([H])[*],,6.8750612633917,10.1515_epoly.2010.10.1.1567_part_1.txt_段1_Material1,,7500000.000000001
CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,6.835056101720117,10.1016_j.matdes.2019.108077_part_1.txt_段1_Material1,,6840000.000000006
COC(C(C[*])([*])C)=O,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,5.023540521554854,10.1016_j.msec.2019.110378_part_1.txt_段1_Material1,,105570.0
COC(C(C[*])([*])C)=O,[*]CC(C1=CC=CC=C1)[*],,6.8750612633917,10.1007_s10570-010-9487-6_part_1.txt_段1_Material1,,7500000.000000001
COC(C(C[*])([*])C)=O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,5.045714058940868,10.1177_0731684415577236_part_2.txt_段1_Material1,,111100.00000000022
C[Si](O[*])(C)[*],O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,3.3010299956639813,10.1016_j.apsusc.2015.05.063_part_2.txt_段1_Material1,,2000.0
C[Si](O[*])(C)[*],[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*],,3.7781512503836434,10.1021_jp3071458_part_1.txt_段1_Material1,,5999.999999999997
C[Si](O[*])(C)[*],[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],,3.3010299956639813,10.22190_fume221205002k_OA_part_2.txt_段1_Material1,,2000.0
C[Si](O[*])(C)[*],[*]CC(C1=CC=CC=C1)[*],,3.0,10.1007_s10404-018-2152-3_part_1.txt_段1_Material1,,1000.0
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,3.413299764081252,10.5301_jabfm.5000189_part_1.txt_段1_Material1,,2590.0000000000005
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O[*])CO)CO)CO,,6.146128035678238,10.1007_s10924-021-02073-x_part_2.txt_段1_Material3,,1400000.0000000005
O=C(N)C([*])C[*],O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,1.3010299956639813,10.1002_bit.24810_part_1.txt_段1_Material1,,20.000000000000004
