SMILE A,SMILE B,SMILE C,Young's Modulus (kPa) log10,Swelling Ratio (times),Source,Young's Modulus (kPa)
C/C(C[*])=C/C[*],C/C(C[*])=C/C[*],,2.903089986991944,,10.1134_s0965545x13020119_part_1.txt_段1_Material1,800.0000000000011
C/C(C[*])=C/C[*],COC(C(C[*])([*])C)=O,,2.9542425094393248,,10.1177_0021998316689721_part_1.txt_段1_Material1,899.9999999999998
C/C(C[*])=C/C[*],O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],,3.90848501887865,,10.1080_00218464.2019.1707674_part_2.txt_段1_Material1,8100.000000000004
C/C(C[*])=C/C[*],O=C1CCCN1C([*])C[*],,3.322219294733919,,10.1088_1757-899x_801_1_012091_part_1.txt_段1_Material1,2099.999999999999
C/C(C[*])=C/C[*],OC(COCC1OC(OC2C(COCC(O)=O)OC([*])C(O)C2O)C(O)C(O)C1O[*])=O,,5.301029995663981,,10.1007_s10570-021-04082-4_part_2.txt_段1_Material1,200000.00000000003
C/C(C[*])=C/C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,4.086359830674748,,10.1002_mame.201000444_part_2.txt_段1_Material1,12200.000000000005
C/C(C[*])=C/C[*],[*]C(C)C[*],,5.954242509439325,,10.15282_ijame.8.2013.19.0107_OA_part_3.txt_段1_Material3,900000.0000000007
C/C(C[*])=C/C[*],[*]C(CCCCCO[*])=O,,5.742725131304698,,10.1016_j.polymertesting.2017.04.024_part_1.txt_段1_Material1,552999.9999999995
C/C(C[*])=C/C[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,3.661812685537261,,10.4028_www.scientific.net_amr.844.93_part_1.txt_段1_Material4,4589.999999999997
C/C(C[*])=C/C[*],[*]C([H])([H])C(O)([H])[*],,3.505149978319906,,10.5254_1.3673424_part_1.txt_段1_Material1,3199.999999999999
C/C(C[*])=C/C[*],[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,5.0948203803548,,10.1016_j.compositesa.2021.106601_part_2.txt_段1_Material1,124399.9999999999
C/C(C[*])=C/C[*],[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],,3.397940008672037,,10.1063_5.0017936_part_1.txt_段1_Material1,2499.999999999997
C/C(C[*])=C/C[*],[*]CC([*])Cl,,3.832508912706236,,10.1002_app.38997_part_1.txt_段1_Material2,6799.999999999997
C/C(C[*])=C/C[*],[*]CC=CCCC(C#N)[*],,5.238046103128795,,10.1016_j.polymer.2018.10.012_part_3.txt_段1_Material1,172999.99999999985
C/C(C[*])=C/C[*],[*]CC=CCCC(C1=CC=CC=C1)[*],,3.0791812460476247,,10.4028_www.scientific.net_msf.695.332_part_1.txt_段1_Material1,1199.9999999999995
C/C(C[*])=C/C[*],[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,,3.505149978319906,,10.1080_1023666x.2015.1050905_part_2.txt_段1_Material1,3199.999999999999
C/C(C[*])=C/C[*],[*]CCCC([*])OC(C)=O,,6.041392685158225,,10.15282_ijame.8.2013.19.0107_OA_part_3.txt_段1_Material5,1100000.0000000007
C/C(C[*])=C/C[*],[*]CCN[*],,3.8813846567705728,,10.1007_s10118-016-1794-4_part_1.txt_段1_Material1,7609.999999999999
C/C(C[*])=C/C[*],[*]CC[*],,5.576341350205793,,10.1177_096739111602400913_part_1.txt_段1_Material1,376999.99999999977
CC(C=C([*])C=C1C)=C1O[*],[*]C(C)C[*],,6.707570176097937,,10.1515_epoly.2010.10.1.336_part_2.txt_段1_Material1,5100000.000000004
CC(C=C([*])C=C1C)=C1O[*],[*]CC(CC(C#N)[*])C1=CC=CC=C1,,6.3979400086720375,,10.1007_s00396-021-04820-x_part_2.txt_段1_Material2,2499999.9999999995
CC(CC(C(C(O1)=O)CC1=O)[*])C[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],,6.107549129744687,,10.1016_j.compscitech.2015.01.001_part_1.txt_段1_Material1,1281000.0000000012
CC(CC(C(C(O1)=O)CC1=O)[*])C[*],O=C1C([*])C(CC[*])C(O1)=O,,4.193681029541281,,10.1007_s10924-018-1296-2_part_1.txt_段1_Material1,15619.999999999987
CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O,COC(C(C[*])([*])C)=O,,6.531478917042255,,10.1016_j.polymer.2015.07.016_part_1.txt_段1_Material3,3400000.000000002
CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,6.414973347970818,,10.3390_polym13111878_part_2.txt_段1_Material1,2600000.0000000014
CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O,[*]C(F)(C(F)([*])F)F,,6.372912002970106,,10.1016_j.triboint.2016.03.013_part_1.txt_段1_Material1,2359999.9999999986
CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,[*]C([H])([H])C(O)([H])[*],,6.8750612633917,,10.1515_epoly.2010.10.1.1567_part_1.txt_段1_Material1,7500000.000000001
CC(NC(C([*])C)=O)C(NC(C)C(NC(C)C(N[*])=O)=O)=O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,6.835056101720117,,10.1016_j.matdes.2019.108077_part_1.txt_段1_Material1,6840000.000000006
CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,4.072984744627931,,10.1021_acs.jafc.9b00984_part_1.txt_段1_Material1,11830.000000000013
CCCCCCC1=C(SC([*])=C1)[*],C[Si](O[*])(C)[*],,5.096910013008056,,10.1021_acs.macromol.9b02573_part_2.txt_段1_Material1,124999.99999999996
CCCCCCC1=C(SC([*])=C1)[*],[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],,5.342422680822207,,10.3390_polym11071195_part_2.txt_段1_Material2,220000.0000000002
COC(C(C[*])([*])C)=O,COC(C(C[*])([*])C)=O,,6.2405492482826,,10.1002_adv.21749_part_2.txt_段1_Material1,1740000.0000000026
COC(C(C[*])([*])C)=O,C[Si](O[*])(C)[*],,5.278753600952829,,10.1039_c7sm00574a_part_2.txt_段1_Material1,189999.99999999994
COC(C(C[*])([*])C)=O,O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,6.2552725051033065,,10.1590_0104-1428.1924_part_1.txt_段1_Material2,1800000.0000000016
COC(C(C[*])([*])C)=O,O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,5.023540521554854,,10.1016_j.msec.2019.110378_part_1.txt_段1_Material1,105569.99999999999
COC(C(C[*])([*])C)=O,O=C1CCCN1C([*])C[*],,6.313867220369153,,10.18280_rcma.330503_OA_part_2.txt_段1_Material1,2059999.9999999993
COC(C(C[*])([*])C)=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,6.361727836017593,,10.1080_10667857.2018.1541212_part_1.txt_段1_Material1,2300000.000000001
COC(C(C[*])([*])C)=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,6.6020599913279625,,10.1021_acsomega.9b00388_part_2.txt_段1_Material1,4000000.000000001
COC(C(C[*])([*])C)=O,OCC1OC(C(C(C1O[*])O)NC(C)=O)OC2C(O)C(C(OC2CO)[*])NC(C)=O,,6.649334858712142,,10.1016_j.matdes.2013.11.057_part_2.txt_段1_Material1,4460000.000000001
COC(C(C[*])([*])C)=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,6.041392685158225,,10.1007_s10570-018-1725-3_part_2.txt_段1_Material1,1100000.0000000007
COC(C(C[*])([*])C)=O,[*]C(CCCCCO[*])=O,,5.901294817165567,,10.1111_ijac.13298_part_2.txt_段1_Material1,796700.0000000001
COC(C(C[*])([*])C)=O,[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,6.447158031342219,,10.1016_j.wear.2017.11.024_part_1.txt_段1_Material1,2800000.0000000014
COC(C(C[*])([*])C)=O,[*]C([H])([H])C(O)([H])[*],,4.681241237375588,,10.56294_sctconf2024873_OA_part_2.txt_段1_Material1,48000.000000000044
COC(C(C[*])([*])C)=O,[*]CC(C#N)[*],,5.81504617606463,,10.1177_0021998311431995_part_1.txt_段1_Material1,653199.9999999994
COC(C(C[*])([*])C)=O,[*]CC(C)(C(OCCO)=O)[*],,3.204119982655925,,10.1002_pen.24931_part_2.txt_段1_Material1,1600.000000000001
COC(C(C[*])([*])C)=O,[*]CC(C1=CC=CC=C1)[*],,6.8750612633917,,10.1007_s10570-010-9487-6_part_1.txt_段1_Material1,7500000.000000001
COC(C(C[*])([*])C)=O,[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,6.8909795969896885,,10.1016_j.jngse.2020.103790_part_1.txt_段1_Material1,7779999.999999993
COC(C(C[*])([*])C)=O,[*]CCN[*],,6.0,,10.1021_ie4043196_part_1.txt_段1_Material1,1000000.0
COC(C(C[*])([*])C)=O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,4.5003737143533735,,10.1007_s12221-012-0994-y_part_1.txt_段1_Material1,31649.99999999997
COC(C(C[*])([*])C)=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,6.3979400086720375,,10.1007_s42452-020-2546-1_part_2.txt_段1_Material1,2499999.9999999995
COC(C(C[*])([*])C)=O,[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,,6.447158031342219,,10.1002_app.51237_part_2.txt_段1_Material2,2800000.0000000014
COC(C(C[*])([*])C)=O,[H]N(C(O[*])=O)CCCCCCN(C(OCCCCO[*])=O)[H],,7.267171728403014,,10.32434_0321-4095-2020-133-6-83-90_OA_part_2.txt_段1_Material3,18499999.999999996
COC(C(C[*])([*])C)=O,[H]N(C([H])([H])C(N([H])C(C)([H])C(N(C([H])([H])C([*])=O)[H])=O)=O)C(C(N([*])[H])(C)[H])=O,,5.045714058940868,,10.1177_0731684415577236_part_2.txt_段1_Material1,111100.00000000022
C[Si](C)(C[*])O[*],[*]CC(C#N)[*],,6.0,,10.1007_s10853-011-5965-y_part_1.txt_段1_Material1,1000000.0
C[Si](C)(C[*])O[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,5.715167357848458,,10.1002_app.48641_part_1.txt_段1_Material1,518999.99999999977
C[Si](C)(C[*])O[*],[*]CCC(CCCC(CCCC(C[*])C)C)C,,6.024046225131059,,10.1039_c9sm01952a_part_4.txt_段1_Material4,1056930.0000000005
C[Si](O[*])(C)[*],C[Si](C)(C[*])O[*],,3.146128035678238,,10.1002_admt.202000374_part_1.txt_段1_Material1,1400.0000000000005
C[Si](O[*])(C)[*],C[Si](O[*])(C)[*],,2.8750612633917,,10.1088_0960-1317_21_2_027002_part_1.txt_段1_Material1,750.0000000000001
C[Si](O[*])(C)[*],O=C(N1C(C([*])=O)CC(O)C1)CNC(C2CCCN2[*])=O,,3.3010299956639813,,10.1016_j.apsusc.2015.05.063_part_2.txt_段1_Material1,2000.0000000000002
C[Si](O[*])(C)[*],O=C1CCCN1C([*])C[*],,3.3138672203691533,,10.1002_pen.24240_part_1.txt_段1_Material4,2059.9999999999995
C[Si](O[*])(C)[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,5.905795880367869,,10.3390_polym10091000_part_1.txt_段1_Material1,805000.0000000003
C[Si](O[*])(C)[*],[*]C(F)(C(F)([*])F)F,,2.6989700043360187,,10.1088_0960-1317_22_1_015013_part_1.txt_段1_Material1,499.99999999999994
C[Si](O[*])(C)[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,4.146128035678238,,10.1038_s41427-024-00546-8_OA_part_1.txt_段1_Material1,14000.000000000005
C[Si](O[*])(C)[*],[*]C/C=C(C[*])\Cl,,3.2430380486862944,,10.1088_1361-665x_aa7a49_part_2.txt_段1_Material1,1750.0
C[Si](O[*])(C)[*],[*]C1=CC=C([*])N1,,2.6532125137753435,,10.1016_j.progpolymsci.2018.06.001_part_8.txt_段1_Material2,449.99999999999983
C[Si](O[*])(C)[*],[*]CC(C#N)[*],,2.1089031276673134,,10.1002_app.44780_part_2.txt_段1_Material1,128.5
C[Si](O[*])(C)[*],[*]CC(C1=CC=C(C=C1)S(=O)([O-])=O)[*],,3.7781512503836434,,10.1021_jp3071458_part_1.txt_段1_Material1,5999.999999999997
C[Si](O[*])(C)[*],[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],,3.3010299956639813,,10.22190_fume221205002k_OA_part_2.txt_段1_Material1,2000.0000000000002
C[Si](O[*])(C)[*],[*]CC(C1=CC=CC=C1)[*],,3.0,,10.1007_s10404-018-2152-3_part_1.txt_段1_Material1,1000.0
C[Si](O[*])(C)[*],[*]CC1=CC=C(C(Cl)=C1)C[*],,4.431363764158987,,10.1016_j.jmbbm.2016.01.014_part_2.txt_段1_Material3,26999.999999999975
